Original,Furigana,English,JLPT Level
焦げ茶,こげちゃ,dark brown,N1
語源,ごげん,"word root, word derivation, etymology",N1
心地,ここち,"feeling, sensation, mood",N1
心得,こころえ,"knowledge, information",N1
心掛け,こころがけ,"readiness, intention, aim",N1
心掛ける,こころがける,"to bear in mind, to aim to do",N1
志,こころざし,"will, intention, motive",N1
志す,こころざす,"to plan, to intend, to aspire to",N1
心強い,こころづよい,"heartening, reassuring",N1
心細い,こころぼそい,"helpless, hopeless, discouraging",N1
試み,こころみ,"trial, experiment",N1
試みる,こころみる,"to try, to test",N1
快い,こころよい,"pleasant, agreeable",N1
誤差,ごさ,error,N1
ございます (かん),ございます (かん),"to be (polite, to exist)",N1
孤児,こじ,orphan,N1
こじれる,こじれる,"to get complicated, to grow worse",N1
こす (みずを～),こす (みずを～),"to strain, to filter",N1
梢,こずえ,treetop,N1
個性,こせい,"individuality, personality, idiosyncrasy",N1
戸籍,こせき,"census, family register",N1
古代,こだい,ancient times,N1
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",N1
こだわる,こだわる,"to fuss over, to be particular about",N1
誇張,こちょう,exaggeration,N1
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",N1
滑稽,こっけい,"funny, humorous, comical",N1
国交,こっこう,diplomatic relations,N1
骨董品,こっとうひん,curio,N1
固定,こてい,"fixation, fixing (e.g., salary, capital)",N1
事柄,ことがら,"matter, thing, affair, circumstance",N1
孤独,こどく,"isolation, loneliness, solitude",N1
ことごとく,ことごとく,"altogether, entirely",N1
言付け,ことづけ,to leave a message,N1
殊に,ことに,"especially, above all",N1
粉々,こなごな,in very small pieces,N1
好ましい,このましい,"nice, likable, desirable",N1
碁盤,ごばん,Go board,N1
個別,こべつ,particular case,N1
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",N1
細やか,こまやか,"meager, modest",N1
コマーシャル,コマーシャル,a commercial,N1
込める,こめる,"to include, to put into",N1
コメント,コメント,comment,N1
籠もる,こもる,"to seclude oneself, to be confined in",N1
固有,こゆう,"characteristic, tradition, peculiar",N1
暦,こよみ,"calendar, almanac",N1
凝らす,こらす,"to concentrate, to devote, to peer into",N1
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",N1
孤立,こりつ,"isolation, helplessness",N1
懲りる,こりる,"to learn by experience, to be disgusted with",N1
凝る,こる,"to stiffen, to harden",N1
根気,こんき,"patience; perseverance, energy",N1
根拠,こんきょ,"basis, foundation",N1
混血,こんけつ,"mixed race, mixed parentage",N1
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,N1
昆虫,こんちゅう,"insect, bug",N1
根底,こんてい,"root, basis, foundation",N1
混同,こんどう,"confusion, mixing, merger",N1
コントラスト,コントラスト,contrast,N1
コントロール,コントロール,control,N1
コンパス,コンパス,compass,N1
根本,こんぽん,"foundation, root, base",N1
財,ざい,"fortune, riches",N1
再会,さいかい,"meeting again, reunion",N1
災害,さいがい,"calamity, disaster, misfortune",N1
細菌,さいきん,"bacillus, bacterium, germ",N1
細工,さいく,"work, craftsmanship, trick",N1
採掘,さいくつ,mining,N1
サイクル,サイクル,cycle,N1
採決,さいけつ,"vote, roll call",N1
再建,さいけん,(temple or shrine) rebuilding,N1
再現,さいげん,"reproduction, return, revival",N1
財源,ざいげん,"source of funds, resources, finances",N1
在庫,ざいこ,"stockpile, stock",N1
採算,さいさん,profit,N1
サイズ,サイズ,size,N1
再生,さいせい,"playback, regeneration, resuscitation",N1
財政,ざいせい,"economy, financial affairs",N1
最善,さいぜん,the very best,N1
採択,さいたく,"adoption, selection, choice",N1
栽培,さいばい,cultivation,N1
再発,さいはつ,"return, relapse, reoccurrence",N1
細胞,さいぼう,cell,N1
採用,さいよう,"use, adopt",N1
遮る,さえぎる,"to interrupt, to intercept, to obstruct",N1
さえずる,さえずる,"to sing, to chirp, to twitter",N1
冴える,さえる,"to be clear, to be bright, to be skillful",N1
竿,さお,"rod, pole (e.g., for drying laundry)",N1
栄える,さかえる,"to flourish, to prosper, to thrive",N1
差額,さがく,"balance, difference, margin",N1
杯,さかずき,wine cup,N1
逆立ち,さかだち,"handstand, headstand",N1
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",N1
詐欺,さぎ,"fraud, swindle",N1
削減,さくげん,"cut, reduction",N1
錯誤,さくご,mistake,N1
作戦,さくせん,"military operations, tactics, strategy",N1
叫び,さけび,"shout, scream, outcry",N1
捧げる,ささげる,"to lift up, to give, to offer",N1
差し掛かる,さしかかる,"to come near to, to approach",N1
指図,さしず,"instruction, mandate",N1
差し出す,さしだす,"to present, to submit, to hold out",N1
差し支える,さしつかえる,"to interfere, to hinder",N1
授ける,さずける,"to grant, to award, to teach",N1
摩する,さする,"to rub, to stroke",N1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",N1
定まる,さだまる,"to become settled, to be fixed",N1
定める,さだめる,"to decide, to determine",N1
座談会,ざだんかい,"symposium, round-table discussion",N1
雑,ざつ,"rough, crude",N1
雑貨,ざっか,"miscellaneous goods, general goods",N1
殺人,さつじん,murder,N1
察する,さっする,"to guess, to sense, to judge",N1
雑談,ざつだん,"chatting, idle talk",N1
さっと,さっと,"suddenly, smoothly",N1
さっぱりする,さっぱりする,to refresh,N1
悟る,さとる,"to attain enlightenment, to understand",N1
最中,さなか,"in the middle of, midst",N1
座標,ざひょう,coordinates,N1
さほど,さほど,"not so, not that much",N1
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,N1
様,さま,state; way (a person does something); Mr. or Mrs.,N1
寒気,さむけ,"chill, shiver, cold",N1
侍,さむらい,samurai,N1
さも,さも,"with gusto, with satisfaction",N1
作用,さよう,"operation, effect, function",N1
さらう (こどもを～),さらう (こどもを～),to kidnap,N1
障る,さわる,"to hinder, to interfere with, to affect",N1
酸,さん,acid,N1
山岳,さんがく,mountains,N1
参議院,さんぎいん,House of Councilors,N1
産休,さんきゅう,maternity leave,N1
サンキュー,サンキュー,thank you,N1
残金,ざんきん,remaining money,N1
産後,さんご,"postpartum, after childbirth",N1
残酷,ざんこく,"cruelty, harshness",N1
産出,さんしゅつ,"yield, produce",N1
参照,さんしょう,"reference, consultation, consultation",N1
参上,さんじょう,"calling on, visiting",N1
残高,ざんだか,"(bank) balance, remainder",N1
サンタクロース,サンタクロース,Santa Claus,N1
桟橋,さんばし,"wharf, jetty, pier",N1
賛美,さんび,"praise, adoration, glorification",N1
山腹,さんぷく,"hillside, mountainside",N1
産婦人科,さんふじんか,maternity and gynecology department,N1
産物,さんぶつ,"product, result, fruit",N1
山脈,さんみゃく,mountain range,N1
仕上がり,しあがり,"finish, end, completion",N1
仕上,しあげ,"end, finishing touches",N1
仕上げる,しあげる,"to finish up, to complete",N1
飼育,しいく,"breeding, raising, rearing",N1
強いて,しいて,"to dare, to insist",N1
シート,シート,seat; sheet,N1
ジーパン,ジーパン,jeans,N1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",N1
強いる,しいる,"to force, to compel, to coerce",N1
潮,しお,tide,N1
歯科,しか,dentistry,N1
自我,じが,"self, ego",N1
自覚,じかく,self-conscious,N1
仕掛,しかけ,"device, trick, mechanism",N1
仕掛ける,しかける,"to lay, to set, to wage",N1
しかしながら,しかしながら,"however, nevertheless",N1
色彩,しきさい,color,N1
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",N1
しきたり,しきたり,"custom, conventional practice, tradition",N1
事業,じぎょう,"project, enterprise, business",N1
軽蔑,けいべつ,"scorn, disdain",N1
経歴,けいれき,"personal history, career",N1
経路,けいろ,"course, route, channel",N1
けがらわしい,けがらわしい,"filthy, unfair",N1
劇団,げきだん,"troupe, theatrical company",N1
激励,げきれい,encouragement,N1
ゲスト,ゲスト,guest,N1
獣,けだもの,"beast, brute",N1
決,けつ,"decision, vote",N1
決意,けつい,"decision, determination",N1
結核,けっかく,tuberculosis,N1
決議,けつぎ,"resolution, vote, decision",N1
結合,けつごう,"combination, union",N1
決算,けっさん,"balance sheet, settlement of accounts",N1
月謝,げっしゃ,monthly tuition fee,N1
決勝,けっしょう,finals (in sports),N1
結晶,けっしょう,"crystal, crystallization",N1
結成,けっせい,formation,N1
結束,けっそく,"union, unity",N1
げっそり,げっそり,"being disheartened, losing weight",N1
決断,けつだん,"decision, determination",N1
月賦,げっぷ,monthly installment,N1
欠乏,けつぼう,shortage,N1
蹴飛ばす,けとばす,"to kick away, to kick (someone)",N1
けなす,けなす,to speak ill of,N1
煙たい,けむたい,"smoky, feeling awkward",N1
煙る,けむる,"to smoke (e.g., fire)",N1
獣,けもの,"beast, brute",N1
家来,けらい,"retainer, retinue, servant",N1
下痢,げり,diarrhea,N1
権威,けんい,"authority, power, influence",N1
兼業,けんぎょう,holding two jobs at the same time,N1
原形,げんけい,"original form, base form",N1
原型,げんけい,"prototype, model, archetypal",N1
権限,けんげん,"power, authority, jurisdiction",N1
現行,げんこう,"present, current, in operation",N1
健在,けんざい,"in good health, well",N1
原作,げんさく,original work,N1
検事,けんじ,public prosecutor,N1
原子,げんし,atom,N1
元首,げんしゅ,"ruler, sovereign",N1
原書,げんしょ,original document,N1
懸賞,けんしょう,"offering prizes, winning, reward",N1
健全,けんぜん,"health, soundness, wholesome",N1
元素,げんそ,element,N1
同調,どうちょう,"sympathy, agree with, alignment",N1
到底,とうてい,(cannot) possibly,N1
動的,どうてき,"dynamic, kinetic",N1
尊い,とうとい,"precious, valuable, noble",N1
貴い,とうとい,"precious, valuable, noble",N1
同等,どうとう,"equality, equal, same rank",N1
堂々,どうどう,"magnificent, grand, impressive",N1
尊ぶ,とうとぶ,"to value, to prize, to esteem",N1
どうにか,どうにか,"in some way or other, one way or another",N1
投入,とうにゅう,"throw, investment, making (an electrical circuit)",N1
導入,どうにゅう,"introduction, bringing in, leading in",N1
当人,とうにん,"the one concerned, the said person",N1
同封,どうふう,"enclosure (e.g., in a letter)",N1
逃亡,とうぼう,escape,N1
冬眠,とうみん,"hibernation, winter sleep",N1
同盟,どうめい,"alliance, union, league",N1
どうやら,どうやら,"it seems like, somehow or other",N1
動力,どうりょく,"power, motive power, dynamic force",N1
登録,とうろく,"registration, register, record",N1
討論,とうろん,discussion; debate,N1
遠ざかる,とおざかる,to go far off,N1
遠回り,とおまわり,"detour, roundabout way",N1
トーン,トーン,tone,N1
とかく,とかく,"anyhow, anyway, in any case",N1
とがめる,とがめる,"to blame, to rebuke",N1
時折,ときおり,sometimes,N1
とぎれる,とぎれる,"to pause, to be interrupted",N1
研ぐ,とぐ,"to sharpen, to grind, to polish",N1
特技,とくぎ,special talent; skill,N1
独裁,どくさい,"dictatorship, despotism",N1
特産,とくさん,"specialty, special product",N1
独自,どくじ,"original, peculiar, characteristic",N1
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",N1
独占,どくせん,monopoly,N1
独創,どくそう,originality,N1
得点,とくてん,"score, points made",N1
特派,とくは,"send specially, special envoy",N1
特有,とくゆう,"characteristic (of, peculiar (to))",N1
とげ (をさす),とげ (をさす),thorn,N1
遂げる,とげる,"to accomplish, to achieve, to carry out",N1
～どころか,～どころか,"rather, far from",N1
年頃,としごろ,"age, marriageable age, adolescence",N1
戸締り,とじまり,"closing up, locking the doors",N1
途上,とじょう,"en/in route, half way",N1
土台,どだい,"foundation, base, basis",N1
途絶える,とだえる,"to stop, to cease, to come to an end",N1
特許,とっきょ,"special permission, patent",N1
特権,とっけん,"privilege, special right",N1
とっさに,とっさに,at once,N1
突如,とつじょ,"suddenly, all of a sudden",N1
とって,とって,"handle, grip, knob",N1
突破,とっぱ,"breaking through, breakthrough, penetration",N1
土手,どて,"embankment, bank",N1
届,とどけ,"report, notification, registration",N1
滞る,とどこおる,"to stagnate, to be delayed",N1
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",N1
止める,とどめる,"to end, to stop, to cease, to resign",N1
唱える,となえる,"to recite, to chant, to call upon",N1
殿様,とのさま,feudal lord,N1
土俵,どひょう,arena,N1
扉,とびら,"door, opening",N1
溝,どぶ,"ditch, drain, gap",N1
徒歩,とほ,"walking, going on foot",N1
土木,どぼく,public works,N1
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",N1
乏しい,とぼしい,"meager, scarce, hard up, poor",N1
富,とみ,"wealth, fortune",N1
富む,とむ,"to be rich, to become rich",N1
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",N1
伴う,ともなう,"to accompany, to bring with",N1
共働き,ともばたらき,dual income (husband and wife both working),N1
ドライ,ドライ,dry,N1
ドライクリーニング,ドライクリーニング,dry cleaning,N1
ドライバー,ドライバー,"driver, screwdriver",N1
ドライブイン,ドライブイン,drive in,N1
トラブル,トラブル,trouble (sometimes used as a verb),N1
トランジスター,トランジスター,transistor,N1
とりあえず,とりあえず,"at once, first of all, for the time being",N1
取扱,とりあつかい,"treatment, handling, management",N1
取り扱う,とりあつかう,"to treat, to handle, to deal in",N1
鳥居,とりい,Shinto shrine archway,N1
取り替え,とりかえ,"swap, exchange",N1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",N1
取締り,とりしまり,"control, crackdown, supervision",N1
取り締まる,とりしまる,"to crack down, to control, to supervise",N1
取り調べる,とりしらべる,"to investigate, to examine",N1
取り立てる,とりたてる,"to collect, to extort",N1
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",N1
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",N1
取り除く,とりのぞく,"to remove, to take away, to set apart",N1
取引,とりひき,"transactions, dealings, business",N1
取り巻く,とりまく,"to surround, to circle, to enclose",N1
取り混ぜる,とりまぜる,"to mix, to put together",N1
取り戻す,とりもどす,"to take back, to regain",N1
取り寄せる,とりよせる,"to order, to send away for",N1
ドリル,ドリル,drill,N1
副,とりわけ,"especially, above all",N1
とろける,とろける,melt; to be enchanted with,N1
鈍感,どんかん,"thickheadedness, stolidity",N1
とんだ,とんだ,"terrible, awful, serious, absolutely not",N1
度忘れ,どわすれ,"lapse of memory, forget for a moment",N1
問屋,とんや,wholesale store,N1
内閣,ないかく,"cabinet, (government)",N1
乃至,ないし,"from...to, between...and, or",N1
内緒,ないしょ,"secrecy, privacy, secret",N1
内心,ないしん,"innermost thoughts, real intention, inmost heart",N1
内蔵,ないぞう,internal organ; built-in,N1
ナイター,ナイター,"game under lights (e.g., baseball), night game",N1
内部,ないぶ,"interior, inside, internal",N1
内乱,ないらん,"civil war, domestic conflict",N1
内陸,ないりく,inland,N1
苗,なえ,rice seedling,N1
なおさら,なおさら,"all the more, still less",N1
流し,ながし,sink,N1
長々,ながなが,"long, drawn-out, very long",N1
中程,なかほど,"middle, midway",N1
渚,なぎさ,"water's edge, beach, shore",N1
嘆く,なげく,"to sigh, to lament, to grieve",N1
投げ出す,なげだす,"to abandon, to throw out",N1
仲人,なこうど,"go-between, matchmaker",N1
和やか,なごやか,"mild, calm, harmonious",N1
名残,なごり,"remains, traces, memory",N1
情け,なさけ,"sympathy, compassion",N1
情無い,なさけない,"miserable, pitiable, shameful",N1
情深い,なさけぶかい,"tender-hearted, compassionate",N1
詰る,なじる,"to rebuke, to scold, to tell off",N1
名高い,なだかい,"famous, celebrated, well-known",N1
雪崩,なだれ,avalanche,N1
懐く,なつく,to become emotionally attached,N1
名付ける,なづける,to name,N1
何気ない,なにげない,"casual, unconcerned",N1
なにとぞ,なにとぞ,"please, kindly, by all means",N1
なにより,なにより,"most, best",N1
ナプキン,ナプキン,napkin,N1
名札,なふだ,"name plate, name tag",N1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",N1
生温い,なまぬるい,"lukewarm, halfhearted",N1
生身,なまみ,"living flesh, flesh and blood, the quick",N1
鉛,なまり,lead (the metal),N1
滑らか,なめらか,"smoothness, glassiness",N1
嘗める,なめる,to lick; to experience; to make fun of,N1
悩ましい,なやましい,"seductive, melancholy, languid",N1
悩ます,なやます,"to bother, to harass, to molest",N1
悩み,なやみ,"trouble(s), worry, distress",N1
並びに,ならびに,and,N1
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true",N1
なるたけ,なるたけ,"as much as possible, if possible",N1
慣れ,なれ,"practice, experience",N1
馴々しい,なれなれしい,"familiar, make free with",N1
～なんか,～なんか,in the least ~,N1
ナンセンス,ナンセンス,nonsense,N1
何だか,なんだか,"a little, somewhat, somehow",N1
なんだかんだ,なんだかんだ,something or other,N1
なんなり,なんなり,"anything, whatever",N1
荷,に,"load, baggage, cargo",N1
似通う,にかよう,to resemble closely,N1
にきび,にきび,"pimple, acne",N1
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",N1
憎しみ,にくしみ,hatred,N1
肉親,にくしん,"blood relationship, blood relative",N1
肉体,にくたい,"the body, the flesh",N1
逃げ出す,にげだす,"to run away, to escape from",N1
西日,にしび,westering sun,N1
滲む,にじむ,"to run, to blur, to spread",N1
にせ物,にせもの,"imitation, counterfeit",N1
日夜,にちや,"day and night, always",N1
荷造り,にづくり,"packing, baling, crating",N1
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",N1
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",N1
にも関わらず,にもかかわらず,"in spite of, nevertheless",N1
ニュアンス,ニュアンス,nuance,N1
ニュー,ニュー,new,N1
入手,にゅうしゅ,"obtaining, coming to hand",N1
入賞,にゅうしょう,winning a prize or place (in a contest,N1
入浴,にゅうよく,"bathe, bathing",N1
尿,にょう,urine,N1
認識,にんしき,"recognition, cognizance",N1
妊娠,にんしん,"conception, pregnancy",N1
任務,にんむ,"duty, mission, task",N1
任命,にんめい,"appointment, nomination, ordination",N1
抜かす,ぬかす,"to omit, to leave out",N1
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",N1
主,ぬし,"owner, master, god",N1
沼,ぬま,"swamp, bog, pond",N1
音色,ねいろ,"tone color, timbre",N1
値打ち,ねうち,"value, worth, price",N1
ネガ,ネガ,(photographic) negative,N1
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",N1
ねじまわし,ねじまわし,screwdriver,N1
捩れる,ねじれる,"twist, strain",N1
妬む,ねたむ,"to be jealous, to be envious",N1
ねだる,ねだる,"to nag, to demand",N1
熱意,ねつい,"zeal, enthusiasm",N1
熱湯,ねっとう,boiling water,N1
熱量,ねつりょう,calorific value,N1
粘り,ねばり,"stickiness, viscosity",N1
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",N1
値引き,ねびき,"price reduction, discount",N1
根回し,ねまわし,making necessary arrangements,N1
眠たい,ねむたい,sleepy,N1
練る,ねる,"to knead, to work over, to polish up",N1
念,ねん,"sense, feeling, desire",N1
年賀,ねんが,"New Year's greetings, New Year's card",N1
念願,ねんがん,"one's heart's desire, earnest petition",N1
年号,ねんごう,"name of an era, year number",N1
燃焼,ねんしょう,"burning, combustion",N1
年長,ねんちょう,seniority,N1
燃料,ねんりょう,fuel,N1
年輪,ねんりん,annual tree ring,N1
ノイローゼ,ノイローゼ,neurosis (GER: Neurose),N1
農耕,のうこう,"farming, agriculture",N1
農場,のうじょう,farm,N1
農地,のうち,agricultural land,N1
納入,のうにゅう,"payment, supply",N1
逃す,のがす,"to let loose, to set free, to let escape",N1
逃れる,のがれる,to escape,N1
軒並,のきなみ,row of houses; uniformly,N1
望ましい,のぞましい,"desirable, hoped for",N1
乗っ取る,のっとる,"to capture, to occupy, to take over",N1
のどか,のどか,"tranquil, calm, quiet",N1
罵る,ののしる,"to speak ill of, to abuse",N1
延べ,のべ,"futures, credit (buying), stretching, total",N1
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",N1
乗り込む,のりこむ,"to board, to get into (a car); to march into, to enter",N1
刃,は,"blade, sword",N1
～派,～は,"group, party, section (mil)",N1
バー,バー,bar,N1
把握,はあく,"grasp, catch, understanding",N1
パート,パート,part-time job,N1
廃棄,はいき,"disposal, abandon, discarding",N1
配給,はいきゅう,"distribution (e.g., films, rice",N1
ばい菌,ばいきん,"bacteria, germ(s)",N1
配偶者,はいぐうしゃ,spouse,N1
拝啓,はいけい,-- a formal greeting used at the beginning of a letter --,N1
背景,はいけい,"background, scenery, setting",N1
背後,はいご,"back, rear",N1
廃止,はいし,"abolition, repeal",N1
拝借,はいしゃく,(humble) (polite) borrowing,N1
排除,はいじょ,"exclusion, removal, rejection",N1
賠償,ばいしょう,"reparations, indemnity, compensation",N1
排水,はいすい,drainage,N1
敗戦,はいせん,"defeat, losing a war",N1
配置,はいち,"arrangement (of resources), disposition",N1
配布,はいふ,distribution,N1
配分,はいぶん,"distribution, allotment",N1
敗北,はいぼく,defeat (as a verb it means 'to be defeated'),N1
倍率,ばいりつ,"diameter, magnification",N1
配慮,はいりょ,"consideration, concern, forethought",N1
配列,はいれつ,"arrangement, array (programming)",N1
破壊,はかい,destruction,N1
いたわる,いたわる,"to sympathize with, to console, to care for",N1
一概に,いちがいに,"unconditionally, necessarily",N1
著しい,いちじるしい,"remarkable, considerable",N1
一同,いちどう,"all present, all concerned, all of us",N1
一部分,いちぶぶん,"a part, a portion",N1
一別,いちべつ,parting,N1
一面,いちめん,"one side, the other hand",N1
一目,いちもく,"a glance, a look, a glimpse",N1
一様,いちよう,"uniform, similar, equal",N1
一律,いちりつ,"even, uniform, equal",N1
一連,いちれん,"a series, a chain, a ream (of paper)",N1
一括,いっかつ,"all together, batch",N1
一気,いっき,"at one push, in one gulp",N1
一挙に,いっきょに,"at a stroke, with a single swoop",N1
一見,いっけん,"a look, a glimpse, glance; first meeting",N1
一切,いっさい,"without exception, the whole",N1
一心,いっしん,"one mind, with rapt attention",N1
いっそ,いっそ,"rather, sooner, might as well",N1
一変,いっぺん,complete change,N1
意図,いと,"intention, aim, design",N1
営む,いとなむ,"to carry on (e.g., in ceremony), to run a business",N1
挑む,いどむ,to challenge,N1
稲光,いなびかり,(flash of) lightning,N1
祈り,いのり,"prayer, supplication",N1
いびき,いびき,snoring,N1
今更,いまさら,"now, again",N1
未だ,いまだ,"yet, still",N1
移民,いみん,"emigrant, immigrant",N1
嫌々,いやいや,"reluctantly, by no means, unwillingly",N1
卑しい,いやしい,"greedy, vulgar, shabby",N1
いやに,いやに,"awfully, terribly",N1
いやらしい,いやらしい,"unpleasant, disgusting, indecent",N1
意欲,いよく,"will, desire, ambition",N1
威力,いりょく,"power, might, authority",N1
衣類,いるい,"clothes, clothing, garments",N1
異論,いろん,"different opinion, objection",N1
印鑑,いんかん,"stamp, seal",N1
陰気,いんき,"gloom, melancholy",N1
隠居,いんきょ,retirement; retired person,N1
インターチェンジ,インターチェンジ,interchange,N1
インターナショナル,インターナショナル,international,N1
インターフォン,インターフォン,"entry phone, intercom",N1
インテリ,インテリ,"(abbr.) egghead, intelligentsia",N1
インフォメーション,インフォメーション,information,N1
インフレ,インフレ,(abbr.) inflation,N1
受かる,うかる,to pass (examination),N1
受け入れ,うけいれ,"receiving, acceptance",N1
受け入れる,うけいれる,"to accept, to receive",N1
受け継ぐ,うけつぐ,"to inherit, to succeed",N1
受け付ける,うけつける,"to be accepted, to receive (an application)",N1
受け止める,うけとめる,"to catch, to react to, to take",N1
受身,うけみ,"passive, passive voice",N1
受持ち,うけもち,"charge (of something), matter in one's charge",N1
動き,うごき,"movement, activity, trend",N1
埋める,うずめる,"to bury, to fill",N1
嘘つき,うそつき,liar,N1
うたた寝,うたたね,"dozing, napping",N1
打ち明ける,うちあける,"to confess, to be open",N1
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",N1
打ち消し,うちけし,"(gram) negation, denial, negative",N1
打ち込む,うちこむ,"to devote oneself to, to shoot into",N1
団扇,うちわ,fan,N1
内訳,うちわけ,"the items, breakdown, classification",N1
写し,うつし,"copy, duplicate",N1
訴え,うったえ,"lawsuit, complaint",N1
うっとうしい,うっとうしい,"weary, annoying",N1
うつむく,うつむく,"to look downward, to stoop",N1
空ろ,うつろ,"blank, hollow, empty",N1
器,うつわ,"bowl, vessel, container",N1
腕前,うでまえ,"ability, skill, facility",N1
雨天,うてん,rainy weather,N1
促す,うながす,"to urge, to suggest, to demand",N1
うぬぼれ,うぬぼれ,"pretension, conceit, hubris",N1
生まれつき,うまれつき,"by nature, by birth, native",N1
埋め込む,うめこむ,"to embed, implant",N1
梅干し,うめぼし,dried plum,N1
裏返し,うらがえし,"inside out, reverse",N1
売り出し,うりだし,(bargain) sale,N1
